ACCLIVITY|오르막|sharp upslope cf.declivity|2015-03-13 오후 2:46:15
PROTRACT|v.:prolong:연장하다|Do not protract this phone conversation as I Expect an important business call within the next few minutes.|몇 분 후 이내에 중요한 사업상의 전화가 올 것 같으니 이 전화 통화를 오래 끌지 마라.  참고:[+] extend, elongate, lengthen, stretch
PROTRUDE|v. pro(=forth) + trud/trus(=thrust):stick out or project; to push outward; to project:밀어내다, 내밀다, 불쑥나오게 하다 / 불쑥 튀어 나오다|In that neighborhood of small homes, a few massive apartment buildings protrude like giants set down in a community of dwarfs. ; His fingers protruded from the holes in his gloves.; When he saw the bone protruding through her skin, he knew that she had a very serious fracture.|작은 집들이 모여있는 그 동네에 몇채의 거대한 아파트 빌딩이 마치 난장이 마을에 세워둔 거인들처럼 불쑥 솟아있다 . ; 그의 손가락들이 장갑의 구멍으로 튀어나왔다.  참고:[+] bulge, project
PROVENANCE|n.:origin or source of something:기원; 출처|I am not interested in its provenance; I am more concerned with its usefulness than with its source.|나는 그것의 출처에는 관심이 없다. 그것의 근원보다 쓸모에 더 관심이 있다.  참고:[+] source
PROVENDER|n.:dry food; fodder:여물; 꼴; 음식, 식량|I am not afraid of a severe winter because I have stored a large quantity of provender for the cattle.|나는 소 여물을 대량 비축해 놓아서 혹한 겨울에도 걱정이 없다.  참고:[+] comestibles, edibles, viands, victuals
PROVIDENT|a.:displaying foresight; thrifty; preparing for emergencies:선견지명이 있는; 검소한; 비상시에 대비하는|In his usual provident manner, he had insured himself against this type of loss.|평상시 위급함에 대비하는 태도로써 그는 이런 종류의 손해 보험에 들었었다.  참고:[+] canny, chary, economical, frugal
PROVINCIAL|a.:pertaining to a province; limited:지방의; 편협한|We have to overcome their provincial attitude and get them to become more cognizant of world problems.|우리는 그들의 편협한 태도를 극복하고 그들에게 세계 문제를 더 잘 인식토록 해 주어야 한다.  참고:[+] insular, local
PROVISIONAL|a.:tentative:일시적인, 잠정적인|The appointment is provisional; only on the approval of the board of directors will it be made permanent.|약속은 잠정적이다. 이사회의 찬성만이 그것을 영구적으로 만들 것이다.  참고:[+] conditional
PROVISO|n.:stipulation:단서; 조건|I am ready to accept your proposal with the proviso that you meet your obligations within the next two weeks.|당신이 다음 두 주 이내로 의무를 이행한다는 조건하에 나는 당신의 제안을 받아들이고자 한다.  참고:[+] condition, provision
PROVOCATION|n.:cause for anger or retaliation:성나게 함; 도발|In order to prevent a sudden outbreak of hostilities, we must give our foe no provocation.|갑작스러운 적대감들의 반발을 막기 위하여 우리는 우리의 적을 성나게 해서는 안된다.  참고:
PROVOKE|v. pro(=forth) + vok/voc(=call):make angry ; vex ; bring about ; incite ; arouse / stir to anger; ause retaliation; to cause; to incite:성나게하다 ; 신경질나게 하다 ; 유발시키다 ; 자극하여 ...시키다 ; <감정따위를> 일으키다 / 화나게 하다|His overbearing manner and crude insults were enough to provoke the most even-tempered person to anger. ; In order to prevent a sudden out break of hostilities, we must not provoke our foe.; His lecture provoked an interesting discussion.|그의 거만한 태도와 조잡한 욕설은 아무리 온순한 기질의 사람이라도 화나도록 자극하기에 충분했다. ; 갑작스런 전쟁의 발발을 막기 위해서는 적을 격분시켜서는 안된다.  참고:[+] aggravate, exasperate, irritate, vex
PROXIMITY|n. prox(=near) + im(=s.e.) + ity(=that which):nearness:근접, 가까움|Modern high-speed transportation has brought all nations of the world into close proximity . ; The deer sensed the hunter's and bounded away.; Proximity to the new shopping center should increase the value of our property.|현대의 빠른 교통수단이 세꼐의 모든 나라를 가까운 이웃 으로 만들었다. ; 사슴은 사냥꾼의 접근을 알고 뛰어 달아났다.  참고:[+] contiguity, propinquity
PROXY|n.:authorized agent:대리인|Please act as my proxy and vote for this slate of candidates in my absence.|나는 대리인으로서 일해 주시고 제가 부재시에는 이 후보자 명부에 투표해 주십시오.  참고:[+] deputy
PRUDE|n.:excessively modest person:고상한 체하는 사람|The X-rated film was definitely not for prudes.|성인용 영화는 고상한 체 하는 사람에게는 확실히 맞지 않다.  참고:
PRUDENT|a. pr < pro(=before) + ud < vid(=look):acting only after careful thought or planning ; careful / cautiouss;; careful; wise, complete:신중한 ; 조심스러운 / 사려깊은, 조심성 있는 / 검약(절약)하는|The only advice I can give you is to take the problems one at a time and try to deal with each of them in a sensible and prudent way. ; A miser hoards money not because he is prudent but because he is greedy.; In order to make a prudent decision, you must comsider ail of the possibilities carefully.|내가 당신에게 줄 수 있는 유일한 충고는 그 문재들을 한번에 하나씩만 잡아서 각 문제를 지각있고 신중하게 처리하도록 하는 것이다. ; 구두쇠는 검소해서 라기보다는 탐욕스럽기 때문에 돈을 모은다.  참고:[+] chary, circumspect, discreet, heedful, wary
PRUNE|v.:cut away; trim:잘라 내다, 전정하다(가지다듬기 하다)|With the help of her editor, she was able to prune her manuscript into publishable form.|편집장의 도움으로 그녀는 원고를 출판할 수 있는 형태로 불필요한 부분을 자를 수 있었다.  참고:[+] abbreviate
PRURIENT|a.:based on lascivious thoughts:음란한|The police attempted to close the theater where the prurient film was being presented.|경찰은 음란 영화를 상영하는 극장을 영업 정지시키고자 했다.  참고:[+] lustful, lascivious, libidinous
PSEUDONYM|n. onym(=name):name taken, especially by author, instead of his real name / pen name:익명, 가명, <특히 저자의> 아호, 필명|He used a woman's psudonym for the Gothic romance. ; Samuel Clemen's pseudonym was Mark Twain.|그는 그 괴기소설에 여성의 필명을 사용했다. ; 사무엘 크리멘의 필명은 마크 트웨인이었다.  참고:[+] alias
PSYCHE|n.:human soul or spirit / mind:영혼, 정신|War damages the psyche as well as the body. ; It is difficult to delve into the psyche of a human being.|전쟁은 육체는 물론 정신 도 손상시킨다. ; 인간의 영혼을 탐구하는 것은 어렵다.  참고:[+] spirit
PSYCHIATRIST|n. iatr(=healing):expert in the treatment of mental illness / a doctor who treats mental diseases:정신과 의사|A psychiatrist often needs long conferences with his patient before a diagnosis can be made. ; A psychiatrist often needs long conferences with his patient before a diagnosis can be made.|정신과 의사는 진단을 내리기 전에 환자와의 오랜 상담이 필요하다. ; 정신과 의사는 종종 진단을 내리기 전에 환자와 오랜 시간 상담을 필요로 한다.  참고:
PSYCHOPATHIC|a.:pertaining to mental derangement:정신병의|The psychopathic patient suffers more frequently from a disorder of the nervous system than from a diseased brain.|정신병 환자는 손상 입은 뇌보다는 신경 계통의 질환으로 더 자주 고통 받는다.  참고:[+] psychotic
PSYCHOSIS|n.:severely abnormal or diseased mental state / mental disorder:정신이상, 정신병|The institution treated his psychosys . ; We must endeavor to find an outlet for the patient's repressed desires if we hope to combat this psychosis.|그 병원에서 그의 정신질환을 치료했다. ; 정신병과 싸우려는 우리는 환자의 억압된 욕구들에 대한 출구를 찾도록 노력해야 한다.  참고:
PTERODACTYL|n.:exinct flying reptile:멸종된 날아다니는 파충류; 익룡|The remains of pterodactyls indicate that these flying reptiles had a wingspan of as much as twenty feet.|익룡의 화석은 이 나는 파충류가 길이 20피트나 되는 날개를 가졌음을 보여준다.  참고:
PUERILE|a.:childish:어린애같은|His puerile pranks sometimes offended his more mature friends.|그가 어린애 같은 농담을 함으로써 때때로 성숙한 친구들을 화나게 했다.  참고:[+] immature
PUGILIST|n.:boxer:권투선수|The famous pugilist Cassius Vlay changed his name to Muhammed Ali.|유명한 권투 선수 카시우스 클레이는 그의 이름을 무하메드 알리로 바꾸었다.  참고:
PUGNACIOUS|a.:combative; disposed to fight:호전적인; 잘 싸우는|As a child he was pugnacious and fought with everyone.|어렸을 때 그는 싸움을 좋아하여 아무하고나 싸웠다.  참고:[+] bellicose, belligerent, contentious, militant, warlike
PUISSANT|a.:powerful; strong; potent:힘센; 강력한; 능력있는|We must keep his friendship for he will make a puissant ally.|그는 강한 동맹가가 될 것이기 때문에 우리는 그와의 우정을 계속 유지해야만 한다.  참고:[+] mighty
PULCHRITUDE|n.:beauty; comeliness:미; 아름다움|I do not envy the judges who have to select this year's Miss America from this collection of female pulchritude.|나는 이 미녀들 중에서 올해의 미스 아메리카를 뽑아야 하는 심사위원들을 부러워하지 않는다.  참고:
PULMONARY|a.:pertaining to the lungs:폐의|In his researches on pulmonary diseases, he discovered many facts about the lungs of animals and human beings.|폐 질환에 관한 연구를 통해 그는 인간과 동물의 허파에 대해서 많은 사실을 발견했다.  참고:
PULSATE|v.:throb:맥박이 뛰다|We could see the blood vessels in his temple pulsate as he became more angry.|그가 더 화나면 우리는 그의 관자놀이에 있는 혈관들이 뛰는 것을 볼 수 있었다.  참고:[+] palpitate
PUMMEL|v.:beat:때리다|The severity with which he was pummeled was indicated by bruises he displayed on his head and face.|그가 얼마나 심하게 맞았는지는 그의 머리와 얼굴에 입은 타박상으로 알수 있었다.  참고:[+] strike
PUNCTILIOUS|a.:laying stress on niceties of conduct or form; precise:격식을 차리는; 세심한, 꼼꼼한|We must be punctilious in our planning of this affair, for any error may be regarded as a personal affront.|어떠한 실수도 개인적인 치욕일 수가 있으므로 우리는 이 일을 계획함에 있어서 꼼꼼해야만 한다.  참고:[+] conscientious, fussy, heedful, meticulous, scrupulous
PUNDIT|n.:learned Hindu; any learned man; authority on a subject:인도의 학자; 학식인; 어떤 분야의 권위자|Even though he discourses on the matter like a pundit, he is actually rather ignorant about this topic.|이 문제에 관해 박식한 사람처럼 이야기하지만 실제로 그는 이 논제에 대해서 무지하다.  참고:
PUNGENCY|n.:sharpness; stinging quality:톡 쏨, 자극|the pungency of the cigarette smoke mademe cough.|담배 연기의 자극으로 나는 기침이 났다.  참고:[+] piquancy, poignancy, sourness; [-] blandness(온화함)
PUNGENT|a.:stinging; caustic:매운; 신랄한|The pungency of the cigarette smoke made me cough.|담배 연기의 자극으로 나는 기침이 났다.  참고:[+] piquant, poignancy, sour
PUNITIVE|a.:punishing:처벌하는|He asked for punitive measures against the offender.|그는 위반자를 벌하는 조치를 요청했다.  참고:[+] castigatory
PUNY|a.:insignificant; tiny; weak:하찮은; 적은; 미약한|Our puny efforts to stop the flood were futile.|홍수를 막고자 하는 조그만 노력이 허사가 되고 말았다.  참고:[+] petty, paltry, trivial, unconsequential
PURBLIND|a.:dim-sighted; obtuse:눈이 어두운; 우둔한|In his purblind condition, he could not identify the people he saw.|눈이 침침하여 그는 자기가 본 사람들을 구별할 수가 없었다.  참고:[+] dull, stupid
PURCHASE|n.:firm grasp or footing:잡거나 발 디딜만한 곳, 힘이 걸리는 부분; 다,구매|The mountaineer struggled to get a proper purchase on the slippery rock.|등산가는 미끄러운 바위 위에서 적당한 발디딜만한 곳을 확보하기 위해 노력했다.  참고:
PURGATORY|n.:place of spiritual expiation:영적인 속죄의 장소; 연옥|In this purgatory, he could expect no help from his comrades.|이 지옥 같은 곳에서는 그는 동료들로부터 도움을 기대할 수가 없었다.  참고:
PURGE|v.:clean by removing impurities; to clear of charges:정화하다; 혐의를 깨끗이 하다|If you are to be purged of the charge of contempt of Congress, you must be willing to answer the questions previously asked.|당신이 국회를 모독한 혐의를 벗으려면 당신은 이전의 잘못에 대해 흔쾌히 답변해야만 한다.  참고:[+] purify
PURLOIN|v.:steal:훔치다|In the story, "The Purloined Letter," Poe points out that the best hiding place is often the most obvious place.|'도난 당한 편지'라는 소설에서 포우는 숨기에 가장 좋은 장소는 종종 가장 알기 쉬운 장소임을 지적한다.  참고:[+] filch
PURPORT|n.v. pur < pro(=forth) + port(=carry):general meaning or intention of something said or written / mean, imply ; claim:의미, 취지, 요지 / 의미하다, ...을 취지로 하다, 요지는 ...이다 ; ...이라 칭하다, 주장하다|The essential purport of our endless warnings and adjurations can be expressed in one simple phrase: "Don't take unnecessary risk". ; If the purport of your speech was to arouse the rabble, you succeeded admirably.|우리의 끝없는 경고와 간청의 기본 취지는 "쓸데없는 모험을 하지말라"라는 간단한 말로 표현될 수 있다. ; 당신의 연설의 의도가 민중을 선동 시키는 것이라면 당신은 크게 성공했다.  참고:[+] intendment, significance
PURVEYOR|n.:furnisher of foodstuffs; caterer:식료품 조달자; 음식 조달자|As purveyor of rare wines and viands, he traveled through France and Italy every year in search of new products to sell.|희귀한 포도주와 식품의 납품업자로서 그는 판매할 새로운 상품을 구하기 위해 매년 프랑스와 이탈리아 전역을 돌아다녔다.  참고:[+] deliverer
PURVIEW|n. pur < pro(=forth) + view(=look):range of operation or activity ; range of sight or understanding ; the body and scope of an act or bill:범위 ; 시계, 이해 ; <법전의> 요항, 조항|Under the American system of personal liberty, there are many aspects of everyday living that do not come under the purview of any governmental authority. ; The sociological implications of these inventions are beyond the purview of this book.|미국의 개인자유제도에는 정부의 권위 범위에 속하지 않는 일상생활의 여러가지 면들이 있다. ; 이 발명들의 사회학적 의미는 이 책의 영역 밖이다.  참고:[+] compass, extent, range
PUSILLANIMOUS|a.:cowardly; fainthearted:겁많은; 용기없는|You should be ashamed of your pusillanimous conduct during this dispute.|이 논쟁 중에 보인 당신의 소심한 행동에 대해 당신은 부끄러워해야 한다.  참고:[+] craven, poltroonish
PUTATIVE|a.:supposed; reputed:추정되는; 소문에 들리는|Although there are some doubts, the putative author of this work is Messenger.|약간 의문이 있긴 하지만 이 작품의 저자로 추정되는 사람은 메신저다.  참고:[+] conjectural, hypothetical, suppositional, suppositious
PUTRID|a.:foul; rotten; decayed:썩은, 악취가 나는; 부패한; 쇠퇴한|The gangrenous condition of the wound was indicated by the putrid smell when the bandages were removed.|부상의 붕대를 벗겼을 때 썩는 냄새가 나는 것으로 상처의 부패 정도를 알 수 있었다.  참고:[+] noisome, spoiled, malodorous, fetid
PYROMANIAC|n.:person with an insane desire to set things on fire:방화광|The detectives searched the area for the pyromaniac who had set these costly fires.|형사들은 이런 많은 피해를 낸 화재를 일으킨 방화광을 잡기 위해 그 지역을 수색했다.  참고:[+] arsonist, incendiary
QUACK|n.:charlatan; impostor:돌팔이 의사; 사기꾼|Do not be misled by the exorbitant claims of this quack; he cannot cure you.|이 돌팔이 의사의 터무니없는 주장에 오도되지 마라. 그는 당신을 낫게 해 줄 수 없는 사람이다.  참고:[+] mountebank; [-] honest practitioner(정직한 개업의)
QUADRUPED|n. ped(=foot):four-footed animal:네발짐승 / 네발 짐승|A dog is a quadruped . ; Most mammals are quadrupeds.|개는 네발짐승 이다. ; 대부분의 포유류는 네발 달린 짐승이다.  참고:
QUAFF|v.:drink with relish:술을 맛있게 들이키다|As we quaffed our ale, we listened to the gay songs of the students in the tavern.|우리가 술을 벌컥벌컥 마시고 있을 때 우리는 여관에서 학생들의 흥겨운 노래 소리를 들었다.  참고:[+] cf. sip (찔끔찔끔 마시다)
QUAGMIRE|n.:bog; marsh:수렁; 습지|Our soldiers who served in Vietnam will never forget the drudgery of marching through the quagmires of the delta country.|베트남 전에 참전했던 우리 군인들은 삼각지의 습지를 가로질러 행진했던 그 단조롭고 고되었던 일들을 결코 잊을 수 없을 것이다.  참고:[+] marshland
QUAIL|v.:cower; lose heart:움츠리다; 기가 죽다|He was afraid that he would quail in the face of danger.|그는 위험에 직면하여 주눅들까 두려웠다.  참고:[+] recoil, flinch, shrink, wince
QUAINT|a.:odd; old-fashioned; picturesque:유별난, 특이한; 고풍스러운|Her quaint clothes and old-fashioned language marked her as an eccentric.|그녀의 유별난 옷과 구식 언어의 사용이 그녀를 괴짜로 보이게 했다.  참고:[+] eccentric, ikiosyncratic, peculiar
QUALIFIED|a.:limited; restricted:제한된; 전격의, 자격있는|Unble to give the candidate full support, the mayor gave him only a qualified endorsement.|그 후보자들에게 완전한 지지는 줄 수 없기 때문에 시장은 부분적인 지지만 표시했다.  참고:[+] circumscribed, definite, determined; competent, opposite
QUALMS|n.:misgivings:걱정; 양심의 가책|His qualms of conscience had become so great that he decided to abandon his plans.|그는 양심의 가책이 너무나 커서 자기의 계획을 포기하기로 결정했다.  참고:[+] compunction, conscience, scruple
QUANDARY|n.:dilemma:딜레머, 곤경, 궁지|When the two colleges to which he had applied accepted him, he was in a quandary as to which one he should attend.|그가 지원한 2개의 대학에서 입학 허가가 왔을 때 그는 둘 중 어느 대학에 다닐지 고민에 빠졌다.  참고:[+] bewilderment, perplexity; [-] state of complete certainty(완전히 확실한 상태)
QUARANTINE|n.:isolation of person or ship to prevent spread of infection:격리, 검역 격리; (동사) 검역하다, 격리하다|We will have to place this house under quarantine until we determine the exact nature of the disease.|그 질병의 정확한 성질을 파악할 때까지 우리는 이 집을 격리 시켜야만 할 것이다.  참고:[+] segregation, sequestration
QUAY|n.:dock; landing place:부두; 선창|Because of the captain's carelessness, the ship crashed into the quay. ; Because of the capain's carelessness, the ship crashed into the quay.|선장의 부주의로 인해 그 배는 부두에 부딪쳤다. ; 선장의 부주의로 인해 그 배는 부두에 부딪쳤다.  참고:
QUEASY|a.:easily nauseated; squeamish:느글거리는; 토하기 잘하는|As the ship left the harbor, he became queasy and thought that he was going to suffer from seasickness.|배가 항구를 떠나자 메스꺼워져서 그는 배 멀미로 고생할 것이라 생각했다.  참고:[+] nauseous
QUELL|v.:put down; quiet; to make quiet; to subdue:진압하다; 조용하게 하다|The police used fire hoses and tear gas to quell the rioters.; The National Guard was called in to quell the riot.|경찰은 폭도를 진압하기 위해 소방 호스와 최루 가스를 사용했다.  참고:[+] subdue, suppress, quench; ant. foment; [-] foment(촉진하다)
QUERULOUS|a.:fretful; whining:성 잘내는; 투덜거리는|His classmates were repelled by his querulous and complaining statements.|그의 반 아이들은 신경질적이고 불평하는 그의 말 때문에 그로부터 멀어졌다.  참고:[+] irascible, irritable, fractious, peevish, petulant
QUEUE|n.:line:(차례를 기다리는 사람, 차 따위의 )줄|they stood patiently in the queue outside the movie theatre.|그들은 극장 밖에서 참을성 있게 서 있었다.  참고:
QUI VIVE|n.:wide awake; expectant:경계(누구냐?); 예기하는 사람|Let us be on the qui vive.|우리는 경계태세를 취해있자.  참고:[+] cf. on the qui vive (경계하여, 감시하여); qui vive = who goes there? (누구냐?)
QUIBBLE|n.v.:evasion of the main point of an argument, attempt to escape giving an honest answer, by using a secondary or doubtful meaning of a word or phrase / use quibbles ; argue about small points of differences / equivocate; play on words:핑계, 구차스런 변명 / 핑계대다 ; 하찮은 점이나 차이에 대해 논의하다 / 애매하게 말하다; 재담을 하다|Perhaps if you were spending your own money, rather than mine, you would be more inclined to quibble over the price of the repairs. ; Do not quibble; I want a straightforward and definite answer.|내 돈이 아니라 당신의 돈을 쓴다면 아마 당신은 수리비에 대해 더 많은 말을 하고싶을 것이다 . ; 애매한 말로 얼버무리지 마라. 나는 직선적이고 확실한 답변을 원한다.  참고:
QUIESCENT|a.:at rest; dormant:휴식하는; 휴면하는|After this geyser erupts, it will remain quiescent for twenty-four hours.|이 간헐천은 분출한 후 24시간 동안 휴면 상태로 있을 것이다.  참고:[+] latent, abeyant, potential
QUIETUDE|n.:tranquillity:평온|After this geyser erupts, it will remain quietude and peace that pervaded the valley.|그는 계곡에 충만한 고요와 평화로움에 인상 깊었다.  참고:[+] silence, stillness
QUINTESSENCE|n.:purest and highest embodiment:정수; 진수|Noel Coward displayed the quintessence of wit.|노엘 코워드는 재치의 진수를 보였다.  참고:[+] essence, substance
QUIP|n.:taunt:조소,빈정대는 말|You are unpopular because you are too free with your quips and sarcastic comments.|당신은 빈정거리는 말과 비꼬는 말들을 잘 하기 때문에 인기가 없다.  참고:[+] drollery, witticism
QUIRK|n.:startling twist; caprice:(운명의)급전, 괴벽; 변덕|By a quirk of fate, he found himself working for the man whom he had discharged years before.|운명의 장난으로 그는 예전에 자기가 해고했던 사람 밑에서 일하고 있었다.  참고:[+] eccentricity, peculiarity
QUIXOTIC|a.:idealistic but impractical:비실제적인, 비현실적인|His head is in the clouds; he is constantly presenting these quixotic schemes.|그는 공상에 잠겨 있어 늘 이런 비현실적인 계획들을 제시한다.  참고:[+] ant. practical
QUIZZICAL|a.:bantering; comical; humorously serious:놀리는; 익살맞은; 매우 유우머있게|Will Rogers' quizzical remarks endeared him to his audiences.|윌 로저스의 우스꽝스러운 말에 청중들은 호감을 느꼈다.  참고:[+] droll, ludicrous
QUORUM|n.:number of members necessary to conduct a meeting:의결에 필요한 정족수|The senator asked for a roll call to determine whether a quorum was present. |그 상원의원은 정족수가 출석했는지를 알기 위해 출석 조사를 부탁했다.
RABID|a.:like a fanatic; furious:열광적인; 광포한|He was a rabid follower of the Dodgers and watched them play whenever he could go to the ball park.|그는 "Dodgers"팀의 열렬한 팬이어서 야구장에 갈 때마다 그들의 경기를 지켜봤다.  참고:[+] frantic, frenetic, frenzied; a rabid dog (미친 개) a rabid rabbit (음... 미친 토끼라)
RACONTEUR|n.:story-teller:이야기꾼|My father was a gifted raconteur with an unlimited supply of anecdotes.|나의 아버지는 무한한 수의 일화를 알고 계시는 천부적인 이야기꾼이셨다.  참고:[+] narrator
RAGAMUFFIN|n.:person wearing tattered clothes:누더기 옷을 걸친 추레한 사람|He felt sorry for the ragamuffin who was begging for food and gave him money to buy a meal.|그는 누더기를 걸친 사람이 먹을 것을 구걸하는 것을 보고 불쌍히 여겨 음식을 사 먹을 돈을 주었다.  참고:[+] tatterdemalion
RAIL|v.:scold; rant:꾸지람하다, 야단치다|You may rail at him all you want; you will never change him.|너는 할 수 있는 최대한으로 그를 야단치겠지만 결코 그를 변화시킬 수는 없을 것이다.  참고:[+] berate, chide
RAIMENT|n.:clothing:의상, 의복|"How can to the ball?" asked Cinderella. "I have no raiment fit to wear."|"무도회에 제가 어떻게 갈 수 있나요? 저는 입고 갈 만한 옷도 없는 걸요." 하고 신데렐라가 울었다.  참고:[+] apparel, habiliment
RAKISH|a.:stylish; sporty:멋진, 스마트한|He wore his hat at a rakish and jaunty angle.|그는 깔끔하고 멋지게 모자를 썼다.  참고:[+] smart
RAMIFICATION|n.:branching out; subdivision:분지; 소구분|We must examine all the ramifications of this problem.|우리는 이 문제의 세부적인 사항까지 모두 조사해야만 한다.  참고:[+] divergence
RAMIFY|v.:divide into branches or subdivisions:분지하다; 분파하다; 나누다|When must examine all the ramifications of this problem.|식물이 가지를 내기 시작할 때 대부분의 새 가지는 잘라 내는 것이 바람직하다.  참고:
RAMP|n.:slope; inclined plane:경사로; 경사판(이동트랩)|The house was built with ramps instead of stairs in order to enable the man is the wheelchair to move easily from room to room and floor to floor.|그 집은 휠체어를 타는 사람이 방과 방 사이 그리고 층과 층 사이를 보다 쉽게 다닐 수 있도록 계단 대신에 경사로가 만들어져 있다.  참고:
RAMPANT|a.:rearing up on hind legs; unrestrained:뒷발로 일어선; 분방한; 무성한, 만연하는|The rampant weeds in the garden killed all the flowers which had been planted in the spring.|정원에 무성한 잡초들 때문에 봄에 심어진 모든 꽃들이 죽어 버렸다.  참고:[+] pandemic, prevailing, prevalent, widespread
RAMPART|n.:defensive mound of earth:성벽, 누벽|"From the ramparts we watched" as the fighting continued.|전투가 계속되자 "우리는 성벽을 지켜 보았다."  참고:[+] parapet
RAMSHACKLE|a.:rickety; falling apart:흔들거리는, 곧 쓰러질 듯한|The boys propped up the ramshackle clubhouse with a couple of boards.|그 소년들은 삐걱거리는 클럽 회관에 2개의 판자로 지주를 댔다.  참고:[+] tumbledown
RANCID|a.:having the odor of stale fat:썩은 지방질의 냄새가 나는|A rancid odor filled the ship's galley.|썩은 냄새가 배의 주방에 가득 찼다.  참고:[+] malodorous, fetid, putrid, noisome; 열광적이고 광포한(rabid) 한 개가 날뛰니까 썩은 지방질 냄새가 났다. (rancid)
RANCOR|n.:bitterness; hatred; spiteful hatred:쓰라림; 증오; 원한; 앙갚음|Let us forget our rancor and cooperate in this new endeavor.; Let us forget our former rancor and cooperate to solve the pressing problems at hand.|원한은 잊어버리고 새로운 노력으로 서로 협동하자.  참고:[+] enmity, animosity, animus, antagonism, antipathy, hostility; 겨울에 코가 얼면 냉코(rancor)가 되어 쓰라리고 겨울을 증오(rancor)하게 된다.
RANKLE|v.:irritate; fester:괴롭히다, 신경질나게 하다|The memory of having been jilted rankled him for years.|여자에게 버림받은 기억은 몇 년 동안이나 그를 괴롭혔다.  참고:[+] annoy, bother
RANT|v.:rave; speak bombastically:고함치다; 호언장담하다|As we heard him rant on the platform, we could not understand his strange popularity with many people.|우리는 그가 연단에서 호언 장담하는 것을 듣고 많은 사람에게서 받고 있는 그의 인기가 이해가 가지 않았다.  참고:[+] rave음악은 고함치는(rant, rave) 것이다.
RAPACIOUS|a.:excessively grasping; plundering:강탈하는; 약탈하는; 육식하는|Hawks and other rapacious birds may be killed at any time.|매를 비롯한 육식성 조류들은 언제 죽을지 모른다.  참고:[+] ravening; 미국 강도들은 랩(rap) 음악을 부르면서 강탈하는(rapacious) 여유를 부린다.
RAPPROCHEMENT|n.:reconciliation:화해|Both sides were eager to effect a rapprochement but did not know how to undertake a program designed to bring about harmony.|양측은 화해를 조성하려고 무진 애를 썼으나 화합을 위해 고안된 계획을 어떻게 착수해야 할지를 몰랐다.  참고:[+] reconcilement
RAREFIED|a.:made less dense of a gas:가스 따위가 희박한|The mountain climbers had difficulty breathing in the rarefied atmosphere.|등산가들은 공기가 희박한 곳에서 호흡 곤란을 느꼈다.  참고:[+] attenuated, tenuous
RASPY|a.:grating; harsh:거친; 귀에 거슬리는|The sergeant's raspy voice grated on the recruits' ears.|그 하사관의 거친 목소리는 신병들의 귀에 거슬렸다.  참고:[+] hoarse
RATIFY|v. rat(=reckon) + i(=s.e.) + fy(=make):confirm an agreemant by signature or other formality ; verify / approve formally;; to approve; to confirm:비준하다,재가하다 ; 실증하다, 확증하다 / 확인하다,|The soundness of the basic ideas of the Constitution has been ratified by the experience of almost 200 years. ; Before the treaty could go into effect, it had to be ratified by the president.; The Constitution of the United States was ratified by all of the thirteen original states during the years|헌법의 기본 개념이 건전하다는 사실은 거의 200년의 경험에 의해 입증되었다 . ; 조약이 효력을 갖기 위해 대통령의 비준이 있어야만 했다.  참고:[+] confirm, validate; authenticate
RATIOCINATION|n.:reasoning; act of drawing conclusions from premises:추론; 전제에서 결론들을 이끌어 내는 행위|Poe's "The Gold Bug" is a splendid example of the author's use of ratiocination.|포우의 작품 '황금 벌레'는 저자가 추리를 사용한 뛰어난 예다.  참고:[+] inference, deduction
RATIONALIZATION|n.:bringing into conformity with reason:합리화|All attempts at rationalization at this time are doomed to failure; tempers and emotions run too high for intelligent thought to prevail.|이번에는 합리적인 추론을 위한 모든 시도가 제대로 된 것 같지 않다. 기분과 감정이 너무 고조되어 지적인 사고를 할 수가 없다.  참고:[+] justification
RATIONALIZE|v.:reason; justify an improper act:추론하다; 합리화하다|Do not try to rationalize your behavior by blaming your companions.|동료들을 비난함으로써 너의 행동을 합리화하려고 하지 마라.  참고:[+] justify
RAUCOUS|a.:harsh and shrill:귀에 거슬리는|His raucous laughter irritated me and grated on my ears.|그의 거친 웃음은 나에게 짜증스러웠고 귀에 거슬렸다.  참고:[+] strident; 코코스를 로코스 (raucous)라 부르면 귀에 거슬린다.(raucous)
RAVAGE|n.v. rav < rap(=take, seize) + age(=state):destruction ; devastation ; destructive effects / destroy ; damage badly ; plunder with violence / despoil:파괴 ; 황폐 ; < pl> 파괴된 자취 / 파괴하다 ; 황폐하게 하다 ; <<군대 따위가>>약탈하다 / 황폐화하다|To this day, the seacoast towns of Normandy show the ravages of the great invasion of 1944. ; The marauding army ravaged the countryside.|오늘에 이르기까지 Normandy의 해안 도시들은 1944년 대침공의 황폐의 흔적을 보여 주고 있다. ; 약탈자는 시골 지방을 휩쓸었다.  참고:[+] depredate, pillage, spoliate; devastate
RAVENING|a.:rapacious; seeking prey:강탈하는; 먹이를 찾는|We kept our fires burning all night to frighten away the ravening wolves.|우리는 먹이를 찾아 다니는 늑대들을 겁주기 위해 밤새도록 불을 피워 놓았다.  참고:[+] raven 갈가마귀
RAVENOUS|a.:extremely hungry:굶주린|The ravenous dog upset several garbage pails in its search for food.|몹시 굶주린 그 개는 먹이를 찾기 위해 여러 개의 쓰레기통을 뒤엎었다.  참고:[+] famished, starved
